529433,187617
519599,177712
529184,190461
539018,171762
520815,193421
538199,183323
531508,168559
534466,186634
533804,191021
532860,186840
546986,171567
544093,189408
517325,172369
535662,183870
536186,178414
533851,191389
528370,189224
510273,188368
512213,179189
521257,166633
534536,185903
534081,169981
539436,166843
546911,189022
528149,184445
528431,171890
517574,181550
507527,183485
530109,189344
525754,175910
534605,181267
532025,181913
549419,184507
526313,167442
553021,184639
525081,195841
538856,184535
547308,176659
519253,181629
515194,171676
529376,183525
552850,185062
529869,174600
530645,186984
513164,178587
528727,180090
521440,185474
525852,179484
533480,176765
529733,182051
526014,170892
519401,178976
522446,178648
532867,188763
537968,162775
527124,191946
536964,188413
526533,184608
529730,182036
524832,187029
526934,169007
531834,171917
537014,190619
528948,185814
537667,167267
534026,170579
528530,184308
532646,177060
534592,181545
526083,176509
528761,174101
534303,181726
518324,185072
527583,181724
537459,171475
527447,168579
532179,180057
523720,165520
538242,177318
536101,185272
524426,190043
513857,175039
533910,190613
520209,176751
534314,187030
530535,182810
531551,186713
527179,177112
523918,169240
539436,179138
529219,183862
531452,189664
518034,175263
533802,189688
529734,182064
529215,174997
541248,165127
510645,176728
531061,186476
515444,173838
533284,188606
